Coin,Signal Type,Analysis Type,Month,Window (months),Trend Value,Price,Future Price,Price Change (%),Followed by Negative Trend,Price Drop > 10%,Followed by Positive Trend,Price Rise > 10%
bitcoin,Trough,Normalized,2019-03,3,-1.3852616257190227,3997.429443359375,10187.993286132812,154.8636174944213,,,True,True
bitcoin,Trough,Normalized,2019-03,6,-1.3852616257190227,3997.429443359375,9163.495361328123,129.2346992277935,,,True,True
bitcoin,Trough,Normalized,2019-12,1,-0.6241382808046553,7262.174072265625,8253.385864257812,13.648967680045612,,,False,True
bitcoin,Trough,Normalized,2019-12,3,-0.6241382808046553,7262.174072265625,7078.2698974609375,-2.532357018362048,,,True,False
bitcoin,Trough,Normalized,2019-12,6,-0.6241382808046553,7262.174072265625,9444.17236328125,30.046075311644156,,,True,True
bitcoin,Trough,Normalized,2020-04,1,0.25057012616801994,7684.7242431640625,9126.226806640623,18.75802589479834,,,True,True
bitcoin,Trough,Normalized,2020-04,3,0.25057012616801994,7684.7242431640625,10215.5830078125,32.93363150798495,,,True,True
bitcoin,Trough,Normalized,2020-04,6,0.25057012616801994,7684.7242431640625,12255.288330078123,59.475967416525066,,,True,True
bitcoin,Trough,Normalized,2020-06,1,-0.2663633465860973,9444.17236328125,10215.5830078125,8.16811272452501,,,True,False
bitcoin,Trough,Normalized,2020-06,3,-0.2663633465860973,9444.17236328125,11111.845458984377,17.658223839571225,,,True,True
bitcoin,Trough,Normalized,2020-06,6,-0.2663633465860973,9444.17236328125,23874.97509765625,152.801136820434,,,True,True
bitcoin,Trough,Normalized,2020-09,1,-0.5396077006383981,11111.845458984377,12255.288330078123,10.290305740071524,,,True,True
bitcoin,Trough,Normalized,2020-09,3,-0.5396077006383981,11111.845458984377,23874.97509765625,114.8605754623087,,,True,True
bitcoin,Trough,Normalized,2020-09,6,-0.5396077006383981,11111.845458984377,52719.3232421875,374.4425526505302,,,True,True
bitcoin,Trough,Normalized,2021-11,1,-0.7832746130492889,60171.31640625,51282.677734375,-14.772219061758364,,,True,False
bitcoin,Trough,Normalized,2021-11,3,-0.7832746130492889,60171.31640625,40448.84765625,-32.777193400328244,,,True,False
bitcoin,Trough,Normalized,2021-11,6,-0.7832746130492889,60171.31640625,33939.75390625,-43.59479577095529,,,True,False
bitcoin,Trough,Normalized,2022-04,1,-1.2194096638798424,42070.1142578125,33939.75390625,-19.32573869835088,,,False,False
bitcoin,Trough,Normalized,2022-04,3,-1.2194096638798424,42070.1142578125,21674.224609375,-48.4807089504159,,,False,False
bitcoin,Trough,Normalized,2022-04,6,-1.2194096638798424,42070.1142578125,19808.77392578125,-52.91485588940914,,,False,False
bitcoin,Trough,Normalized,2022-08,1,-1.7589534601401902,22030.71435546875,20111.60546875,-8.711060639040804,,,False,False
bitcoin,Trough,Normalized,2022-08,3,-1.7589534601401902,22030.71435546875,18677.349609375,-15.221316440251217,,,False,False
bitcoin,Trough,Normalized,2022-08,6,-1.7589534601401902,22030.71435546875,23219.8486328125,5.397620150472187,,,True,False
bitcoin,Trough,Normalized,2022-09,1,-1.5803991124930883,20111.60546875,19808.77392578125,-1.505755189158312,,,False,False
bitcoin,Trough,Normalized,2022-09,3,-1.5803991124930883,20111.60546875,17108.04150390625,-14.93448133472375,,,False,False
bitcoin,Trough,Normalized,2022-09,6,-1.5803991124930883,20111.60546875,25104.392578125,24.825403009883715,,,True,True
bitcoin,Trough,Normalized,2022-10,1,-1.6559104350595333,19808.77392578125,18677.349609375,-5.711733197851755,,,False,False
bitcoin,Trough,Normalized,2022-10,3,-1.6559104350595333,19808.77392578125,20032.08056640625,1.127311773367078,,,False,False
bitcoin,Trough,Normalized,2022-10,6,-1.6559104350595333,19808.77392578125,28954.64892578125,46.17082831207732,,,True,True
bitcoin,Trough,Normalized,2023-09,1,-1.6923950378189343,26330.24951171875,30835.98291015625,17.112383976582304,,,False,True
bitcoin,Trough,Normalized,2023-09,3,-1.6923950378189343,26330.24951171875,40579.517578125,54.11748210006273,,,True,True
bitcoin,Trough,Normalized,2023-09,6,-1.6923950378189343,26330.24951171875,66393.9228515625,152.15835050105656,,,True,True
bitcoin,Trough,Normalized,2024-02,1,1.4019840074738101,52390.1171875,66393.9228515625,26.729861309422176,,,True,True
bitcoin,Trough,Normalized,2024-02,3,1.4019840074738101,52390.1171875,64150.666015625,22.448029245735306,,,True,True
bitcoin,Trough,Normalized,2024-02,6,1.4019840074738101,52390.1171875,59577.5546875,13.719071240624908,,,True,True
bitcoin,Trough,Normalized,2024-09,1,-0.8393327223969036,60344.673828125,66505.802734375,10.20989677365439,,,False,True
bitcoin,Trough,Normalized,2024-09,3,-0.8393327223969036,60344.673828125,97369.029296875,61.3548025368462,,,True,True
bitcoin,Trough,Normalized,2024-09,6,-0.8393327223969036,60344.673828125,84647.6171875,40.273551612185635,,,True,True
ethereum,Peak,Normalized,2016-02,1,3.1754264805429417,,,,False,False,,
ethereum,Peak,Normalized,2016-02,3,3.1754264805429417,,,,False,False,,
ethereum,Peak,Normalized,2016-02,6,3.1754264805429417,,,,False,False,,
ethereum,Peak,Normalized,2016-03,1,2.848173870268498,,,,False,False,,
